"betadis_dR_results"	"betadis_dRE_results"	"betadis_dRER_results"
"AIME"	0.745762711864407	0.547357320194626	0.386886448034926
"ALGI"	0.743589743589744	0.357724707060349	0.153857066266416
"APIB"	0.75	0.520285246568241	0.289389830788756
"BOGA"	0.595121951219512	0.233615771855196	0.101089588748727
"CENI"	0.564220183486239	0.230035611924725	0.139389814158911
"CHMY"	0.75	0.418652736699338	0.259340584713236
"ELDA"	0.342857142857143	0.0490613802840087	0.01621491073444
"EQKI"	0.43609022556391	0.114130189662092	0.0340387484229786
"GOGO"	0.552238805970149	0.36609667614901	0.0830281036409524
"LALT"	0.551587301587302	0.210787144651433	0.0492849664861655
"MOCH"	0.60586319218241	0.18056116620456	0.0510419445217494
"MYTR"	0.743093922651934	0.700300760674015	0.261762332768943
"PAAN"	0.445026178010471	0.384806697504462	0.17511813266606
"PATI"	0.711538461538462	0.450735970309091	0.317035130759827
"PATR"	0.581560283687943	0.504342703615428	0.190990050086677
"PELE"	0.39873417721519	0.111069121920993	0.0430578467454517
"PEMA"	0.485294117647059	0.138016721430312	0.0821701101769211
"PYNE"	0.544303797468354	0.198189792892346	0.0575093778707849
"RADY"	0.628458498023716	0.515089195922866	0.197775935294121
"RHBR"	0.435582822085889	0.159019591319508	0.0612466057427256
"SAHA1"	0.569620253164557	0.169620903065814	0.108696512531945
"SAHA2"	0.646464646464646	0.270854597862614	0.165111434390947
"SHCR"	0.425	0.15777278864065	0.0545879749478791
"TUTR"	0.64	0.249840538798325	0.0964739497105374
"VAHI"	0.555555555555556	0.0416975609119208	0.0291683736440893
